id,name,party,partyLabel,votes,election,electionLabel,ranking
Q264618,Ben Bradshaw,Q9630,Labour Party (UK),29882,Q30173038,General election 2019,1
,John Gray,Q9626,Conservative Party (UK),19479,Q30173038,General election 2019,2
,Joe Levy,Q9669,Green Party of England and Wales,4838,Q30173038,General election 2019,3
,Leslie Willis,Q61651140,Brexit Party,1428,Q30173038,General election 2019,4
,Daniel Page,Q327591,Independent politician,306,Q30173038,General election 2019,5
,Duncan Odgers,Q10647,UK Independence Party,259,Q30173038,General election 2019,6
Q264618,Ben Bradshaw,Q9630,Labour Party (UK),34336,Q25052149,General election 2017,1
,James Taghdissian,Q9626,Conservative Party (UK),18219,Q25052149,General election 2017,2
,Vanessa Newcombe,Q9624,Liberal Democrats (UK),1562,Q25052149,General election 2017,3
,Joe Levy,Q9669,Green Party of England and Wales,1027,Q25052149,General election 2017,4
,Jonathan West,Q327591,Independent politician,212,Q25052149,General election 2017,5
,Jonathan Bishop,Q327591,Independent politician,67,Q25052149,General election 2017,6
Q264618,Ben Bradshaw,Q9630,Labour Party (UK),25062,Q3586935,General election 2015,1
,Dom Morris,Q9626,Conservative Party (UK),17879,Q3586935,General election 2015,2
,Keith Crawford,Q10647,UK Independence Party,5075,Q3586935,General election 2015,3
,Diana Moore,Q9669,Green Party of England and Wales,3491,Q3586935,General election 2015,4
,Joel Mason,Q9624,Liberal Democrats (UK),2321,Q3586935,General election 2015,5
,Ed Potts,Q980923,Trade Unionist and Socialist Coalition,190,Q3586935,General election 2015,6
Q264618,Ben Bradshaw,Q9630,Labour Party (UK),19942,Q215622,General election 2010,1
,Hannah Foster,Q9626,Conservative Party (UK),17221,Q215622,General election 2010,2
,Graham Oakes,Q9624,Liberal Democrats (UK),10581,Q215622,General election 2010,3
,Keith Crawford,Q10647,UK Independence Party,1930,Q215622,General election 2010,4
,Chris Gale,Q3360801,"Liberal Party (UK, 1989)",1108,Q215622,General election 2010,5
,Paula Black,Q9669,Green Party of England and Wales,792,Q215622,General election 2010,6
,Robert Farmer,Q161269,British National Party,673,Q215622,General election 2010,7
Q264618,Ben Bradshaw,Q9630,Labour Party (UK),22619,Q428598,General election 2005,1
,Peter Cox,Q9626,Conservative Party (UK),14954,Q428598,General election 2005,2
,Jon Underwood,Q9624,Liberal Democrats (UK),11340,Q428598,General election 2005,3
,Margaret Danks,Q3360801,"Liberal Party (UK, 1989)",2214,Q428598,General election 2005,4
,Tim Brenan,Q9669,Green Party of England and Wales,1896,Q428598,General election 2005,5
,Mark Fitzgeorge-Parker,Q10647,UK Independence Party,1854,Q428598,General election 2005,6
,John Stuart,Q327591,Independent politician,191,Q428598,General election 2005,7
Q264618,Ben Bradshaw,Q9630,Labour Party (UK),26194,Q590740,General election 2001,1
,Anne Jobson,Q9626,Conservative Party (UK),14435,Q590740,General election 2001,2
,Richard Copus,Q9624,Liberal Democrats (UK),6512,Q590740,General election 2001,3
,David Morrish,Q3360801,"Liberal Party (UK, 1989)",2596,Q590740,General election 2001,4
,Paul Edwards,Q9669,Green Party of England and Wales,1240,Q590740,General election 2001,5
,John Stuart,Q10647,UK Independence Party,1109,Q590740,General election 2001,6
,Francis Choules,Q7551508,Socialist Alliance (England),530,Q590740,General election 2001,7
Q264618,Ben Bradshaw,Q9630,Labour Party (UK),29398,Q918503,General election 1997,1
,Adrian Rogers,Q9626,Conservative Party (UK),17693,Q918503,General election 1997,2
,Dennis Brewer,Q9624,Liberal Democrats (UK),11148,Q918503,General election 1997,3
,David Morrish,Q3360801,"Liberal Party (UK, 1989)",2062,Q918503,General election 1997,4
,Paul Edwards,Q9669,Green Party of England and Wales,643,Q918503,General election 1997,5
,Corrine Haynes,Q327591,Independent politician,638,Q918503,General election 1997,6
,James Meakin,Q327591,Independent politician,282,Q918503,General election 1997,7
Q6237641,John Hannam,Q9626,Conservative Party (UK),25543,Q543609,General election 1992,1
,John N. Lloyd,Q9630,Labour Party (UK),22498,Q543609,General election 1992,2
,Graham J. Oakes,Q9624,Liberal Democrats (UK),12059,Q543609,General election 1992,3
